Prediction,Actual,Explanation
Approved,Denied,"This application was approved due to -0.77, Marital Status, -0.81, Family Size, -1.05, -0.61."
Denied,Approved,"This application was denied due to -1.62, Email, Housing Type, -0.13, -0.57, Work Phone, Occupation, Car Ownership, Phone, -0.15."
Denied,Approved,"This application was denied due to -1.62, Email, Income Category, Housing Type, Work Phone, -0.15, Annual Income."
Denied,Approved,"This application was denied due to -1.62, Housing Type, Email, -0.13, Work Phone, -0.57, Car Ownership, Phone, Occupation, -0.15."
Approved,Approved,"This application was approved due to Email, Marital Status, Annual Income, Family Size."
Denied,Denied,"This application was denied due to -1.62, Email, Income Category, Housing Type, Work Phone, -0.15."
Approved,Approved,"This application was approved due to Email, Marital Status, Annual Income, Family Size."
Approved,Approved,"This application was approved due to Email, Marital Status, Annual Income, Family Size."
Approved,Approved,"This application was approved due to Email, Marital Status, Annual Income, Family Size."
Approved,Approved,"This application was approved due to Email, Marital Status, Annual Income, Family Size."
Approved,Approved,"This application was approved due to Email, Marital Status, Annual Income, Family Size."
Approved,Approved,"This application was approved due to Email, Marital Status, Family Size, Annual Income."
Approved,Approved,"This application was approved due to Email, Marital Status, Annual Income, Family Size."
Approved,Approved,"This application was approved due to Email, Marital Status, Annual Income, Family Size."
Approved,Approved,"This application was approved due to Email, Marital Status, Annual Income, Family Size."
Denied,Approved,"This application was denied due to -1.62, Email, Income Category, Employment Duration (Days), Housing Type, Marital Status, Work Phone, Car Ownership, Phone, Family Size."
Denied,Approved,"This application was denied due to -1.62, Income Category, Email, Marital Status, Work Phone, Car Ownership, Occupation, Phone, Education Level, -0.15, Family Size."
Denied,Approved,"This application was denied due to -1.62, Income Category, Email, Marital Status, Work Phone, Car Ownership, Occupation, Phone, -0.15, Education Level, Family Size, -0.77."
Denied,Approved,"This application was denied due to -1.62, Email, Income Category, Marital Status, Work Phone, Car Ownership, Phone, Occupation, Education Level, Family Size, -0.15."
Denied,Denied,"This application was denied due to -1.62, Email, Income Category, Marital Status, Work Phone, Car Ownership, Phone, Occupation, Education Level."
Approved,Approved,"This application was approved due to Housing Type, Number of Children, -1.05, Family Size, Annual Income."
Approved,Approved,"This application was approved due to Housing Type, Number of Children, -1.05, Annual Income."
Approved,Approved,"This application was approved due to Housing Type, Number of Children, Annual Income, -1.05, -0.85, Family Size."
Approved,Approved,"This application was approved due to Housing Type, Number of Children, -1.05, Annual Income, Family Size."
Approved,Approved,"This application was approved due to Housing Type, Number of Children, -1.05, Annual Income, -0.85."
Approved,Approved,"This application was approved due to Housing Type, Number of Children, -1.05, Annual Income, -0.85, Family Size."
Approved,Approved,"This application was approved due to Housing Type, Number of Children, Annual Income, -1.05, -0.85."
Approved,Approved,"This application was approved due to Housing Type, Number of Children, Annual Income, -1.05."
Approved,Approved,"This application was approved due to Housing Type, Number of Children, -1.05, Annual Income, Family Size."
Approved,Approved,"This application was approved due to Housing Type, Number of Children, -1.05, Annual Income, Family Size."
Approved,Approved,"This application was approved due to Housing Type, Number of Children, -1.05, Annual Income, Family Size."
Approved,Approved,"This application was approved due to Housing Type, Number of Children, -1.05, Annual Income, -0.85."
Approved,Approved,"This application was approved due to Housing Type, Number of Children, -1.05, Annual Income."
Approved,Approved,"This application was approved due to Housing Type, Number of Children, -1.05, Annual Income, -0.85."
Approved,Approved,"This application was approved due to Housing Type, Number of Children, -1.05, Annual Income."
Approved,Approved,"This application was approved due to Housing Type, Number of Children, Annual Income, -1.05."
Approved,Approved,"This application was approved due to Housing Type, Number of Children, -1.05, Annual Income, -0.85."
Approved,Approved,"This application was approved due to Housing Type, Number of Children, -1.05, Annual Income."
Approved,Approved,"This application was approved due to Housing Type, Number of Children, -1.05, Annual Income, Family Size."
Approved,Approved,"This application was approved due to Housing Type, Number of Children, -1.05, Family Size, Annual Income."
Approved,Approved,"This application was approved due to Housing Type, Number of Children, Annual Income, -1.05."
Approved,Approved,"This application was approved due to Housing Type, Number of Children, Annual Income, -1.05."
Approved,Approved,"This application was approved due to Housing Type, Number of Children, -1.05, Annual Income, Family Size."
Approved,Approved,"This application was approved due to Housing Type, Number of Children, -1.05, Family Size, Annual Income."
Approved,Approved,"This application was approved due to Housing Type, Number of Children, -1.05, Annual Income."
Approved,Approved,"This application was approved due to Housing Type, Number of Children, -1.05, Annual Income, -0.85."
Approved,Approved,"This application was approved due to Housing Type, Number of Children, Annual Income, -1.05, Family Size."
Approved,Approved,"This application was approved due to Housing Type, Number of Children, Annual Income, -1.05, Family Size, -0.85."
Approved,Approved,"This application was approved due to Housing Type, Number of Children, -1.05, Annual Income."
Approved,Approved,"This application was approved due to Housing Type, Number of Children, -1.05, Annual Income, Family Size."
Approved,Approved,"This application was approved due to Housing Type, Number of Children, -1.05, Annual Income."
Approved,Approved,"This application was approved due to Housing Type, Number of Children, -1.05, Annual Income."
Approved,Approved,"This application was approved due to Housing Type, Number of Children, -1.05, Annual Income."
Approved,Approved,"This application was approved due to Housing Type, Number of Children, -1.05, Family Size, Annual Income."
Approved,Approved,"This application was approved due to Housing Type, Number of Children, Annual Income, -1.05."
Approved,Approved,"This application was approved due to Housing Type, Number of Children, -1.05, Annual Income."
Approved,Approved,"This application was approved due to Housing Type, Number of Children, -1.05, Annual Income."
Approved,Approved,"This application was approved due to Housing Type, Number of Children, Annual Income, -1.05, -0.85."
Approved,Approved,"This application was approved due to Housing Type, Number of Children, -1.05, Annual Income, Family Size."
Approved,Approved,"This application was approved due to Housing Type, Number of Children, -1.05, Annual Income."
Approved,Approved,"This application was approved due to Housing Type, Number of Children, -1.05, Annual Income."
Approved,Approved,"This application was approved due to Housing Type, Number of Children, Annual Income, -1.05."
Approved,Approved,"This application was approved due to Housing Type, Number of Children, Annual Income, -1.05, -0.85."
Approved,Approved,"This application was approved due to Housing Type, Number of Children, -1.05, Family Size, Annual Income."
Approved,Approved,"This application was approved due to Housing Type, Number of Children, -1.05, Annual Income."
Approved,Approved,"This application was approved due to Housing Type, Number of Children, -1.05, Annual Income."
Approved,Approved,"This application was approved due to Housing Type, Number of Children, -1.05, Family Size."
Approved,Approved,"This application was approved due to Housing Type, Number of Children, -1.05, Annual Income."
Approved,Approved,"This application was approved due to Housing Type, Number of Children, Annual Income, -1.05."
Approved,Approved,"This application was approved due to Housing Type, Number of Children, Annual Income, Family Size."
Approved,Denied,"This application was approved due to Housing Type, Number of Children, -1.05, Family Size, Annual Income."
Approved,Denied,"This application was approved due to Housing Type, Number of Children, -1.05, Family Size, Annual Income."
Approved,Approved,"This application was approved due to Housing Type, Number of Children, Annual Income, -1.05."
Approved,Denied,"This application was approved due to Housing Type, Number of Children, Annual Income, -1.05, Family Size."
Approved,Approved,"This application was approved due to Employment Duration (Days), Property Ownership, Marital Status, Number of Children, -0.64, -0.61, Family Size."
Approved,Approved,"This application was approved due to Property Ownership, Employment Duration (Days), Marital Status, Number of Children, -0.64, -0.61."
Approved,Approved,"This application was approved due to Property Ownership, Employment Duration (Days), Marital Status, Number of Children, -0.64, -0.61."
Approved,Approved,"This application was approved due to Property Ownership, Employment Duration (Days), Marital Status, Number of Children, -0.64, -0.61."
Approved,Approved,"This application was approved due to Property Ownership, Employment Duration (Days), Number of Children, Marital Status, -0.64, -0.61."
Denied,Approved,"This application was denied due to -1.62, Housing Type, Email, Car Ownership, Occupation, -0.85, Family Size."
Denied,Approved,"This application was denied due to Email, -1.62, Housing Type, Car Ownership, Occupation, -0.85."
Denied,Approved,"This application was denied due to -1.62, Email, Housing Type, Car Ownership, Occupation, -0.85."
Denied,Approved,"This application was denied due to -1.62, Housing Type, Email, Car Ownership, Occupation, -0.85."
Denied,Approved,"This application was denied due to -1.62, Housing Type, Email, -0.13, -0.57, Work Phone, Car Ownership, Phone, -0.27, -0.20, Age (Days)."
Denied,Approved,"This application was denied due to -1.62, Email, Housing Type, -0.13, -0.57, Work Phone, Car Ownership, Age (Days), Phone, -0.27, -0.20."
Denied,Approved,"This application was denied due to -1.62, Housing Type, Email, -0.13, -0.57, Work Phone, Car Ownership, Phone, Age (Days), -0.27."
Denied,Approved,"This application was denied due to -1.62, Housing Type, Email, -0.13, -0.57, Work Phone, Car Ownership, Phone, -0.27, -0.20, Age (Days)."
Approved,Approved,"This application was approved due to -0.77, Marital Status, Number of Children, -0.81, -1.05, -0.61."
Approved,Approved,"This application was approved due to -0.77, Marital Status, Number of Children, -0.81, -0.61, -1.05."
Approved,Approved,"This application was approved due to -0.77, Marital Status, Number of Children, -0.81, -0.61, -1.05."
Approved,Approved,"This application was approved due to -0.77, Marital Status, Number of Children, -0.81, -1.05, -0.61."
Approved,Approved,"This application was approved due to -0.77, Marital Status, Number of Children, -0.81, -1.05, -0.61."
Approved,Approved,"This application was approved due to -0.77, Marital Status, Number of Children, -0.81, -1.05, Family Size, -0.61."
Approved,Approved,"This application was approved due to -0.77, Marital Status, Number of Children, -0.81, -1.05, -0.61."
Approved,Approved,"This application was approved due to -0.77, Marital Status, Number of Children, -0.81, -1.05, -0.61."
Denied,Approved,"This application was denied due to -1.62, Email, Housing Type, Car Ownership, Work Phone, Family Size, -0.15."
Denied,Approved,"This application was denied due to -1.62, Email, Housing Type, Work Phone, Car Ownership, -0.15."
Denied,Approved,"This application was denied due to -1.62, Email, Housing Type, Work Phone, Car Ownership, -0.15."
Denied,Approved,"This application was denied due to -1.62, Email, Housing Type, Work Phone, Car Ownership, Family Size, -0.15."
Denied,Approved,"This application was denied due to Email, -1.62, Income Category, Employment Duration (Days), Housing Type, Car Ownership, Work Phone, Phone, Family Size."
Denied,Approved,"This application was denied due to -1.62, Email, Income Category, Housing Type, Employment Duration (Days), Work Phone, Car Ownership, Phone, Family Size."
Denied,Approved,"This application was denied due to -1.62, Email, Income Category, Housing Type, Employment Duration (Days), Work Phone, Car Ownership, Phone, Family Size."
Denied,Approved,"This application was denied due to -1.62, Email, Employment Duration (Days), Income Category, Housing Type, Work Phone, Car Ownership, Phone."
Denied,Approved,"This application was denied due to -1.62, Income Category, Email, Employment Duration (Days), Housing Type, Work Phone, Car Ownership, Phone, Family Size."
Denied,Approved,"This application was denied due to -1.62, Income Category, Email, Employment Duration (Days), Housing Type, Work Phone, Car Ownership, Phone."
Denied,Approved,"This application was denied due to -1.62, Email, Income Category, Employment Duration (Days), Housing Type, Work Phone, Car Ownership, Phone."
Approved,Approved,"This application was approved due to -0.77, Marital Status, Number of Children, Annual Income, -0.81, -0.64, Age (Days), -1.05."
Approved,Approved,"This application was approved due to -0.77, Marital Status, Number of Children, -0.81, Age (Days), Annual Income, -1.05, -0.64."
Approved,Approved,"This application was approved due to -0.77, Marital Status, Number of Children, -0.81, -0.64, Annual Income, Age (Days), -1.05."
Approved,Approved,"This application was approved due to -0.77, Marital Status, Number of Children, -0.81, Age (Days), -0.64, Annual Income, -1.05."
Approved,Approved,"This application was approved due to -0.77, Marital Status, Number of Children, Age (Days), -0.81, Annual Income, -0.64, -1.05."
Approved,Approved,"This application was approved due to -0.77, Marital Status, Number of Children, Age (Days), Annual Income, -0.81, -0.64, -1.05."
Approved,Denied,"This application was approved due to -0.77, Marital Status, Number of Children, Age (Days), -0.81, Annual Income, -0.64, -1.05."
Approved,Approved,"This application was approved due to -0.77, Work Phone, Number of Children, -0.81, -0.64, -1.05, Annual Income."
Approved,Approved,"This application was approved due to -0.77, Number of Children, Work Phone, -0.81, -1.05, -0.64, Annual Income."
Approved,Approved,"This application was approved due to -0.77, Number of Children, Work Phone, -0.81, -1.05, -0.64, Annual Income."
Approved,Approved,"This application was approved due to -0.77, Number of Children, Work Phone, -0.81, -0.64, -1.05."
Approved,Denied,"This application was approved due to -0.77, Work Phone, Number of Children, -0.81, -0.64, -1.05."
Approved,Approved,"This application was approved due to -0.77, Number of Children, Work Phone, -0.81, -0.64, -1.05."
Approved,Denied,"This application was approved due to -0.77, Work Phone, Number of Children, -0.81, -0.64, -1.05, Annual Income."
Approved,Approved,"This application was approved due to -0.77, Email, Marital Status, Number of Children, -0.81, Annual Income."
Approved,Approved,"This application was approved due to Email, -0.77, Marital Status, Number of Children, -0.81."
Denied,Approved,"This application was denied due to Email, -1.62, Housing Type, Work Phone, Phone, Age (Days), Occupation."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, Work Phone, Phone, Occupation, Age (Days)."
Denied,Approved,"This application was denied due to -1.62, Email, Housing Type, -0.82, Car Ownership, -0.15, Family Size."
Denied,Approved,"This application was denied due to -1.62, Email, Housing Type, -0.82, Car Ownership, -0.15."
Denied,Approved,"This application was denied due to -1.62, Email, Housing Type, Car Ownership, -0.82, -0.15, Family Size."
Denied,Approved,"This application was denied due to -1.62, Email, Housing Type, -0.82, Car Ownership, Family Size."
Denied,Approved,"This application was denied due to -1.62, Email, Housing Type, -0.82, Car Ownership, Family Size, -0.15."
Denied,Approved,"This application was denied due to -1.62, Email, Housing Type, -0.82, Car Ownership, -0.15, Family Size."
Denied,Approved,"This application was denied due to -1.62, Email, Housing Type, -0.82, Car Ownership, -0.15, Family Size."
Denied,Approved,"This application was denied due to -1.62, Email, Housing Type, -0.82, Car Ownership, -0.15."
Denied,Approved,"This application was denied due to -1.62, Email, Housing Type, -0.82, Car Ownership, -0.15, Family Size."
Denied,Approved,"This application was denied due to -1.62, Email, Housing Type, -0.82, Car Ownership, -0.15, Family Size."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, -0.82, Car Ownership, Family Size."
Denied,Denied,"This application was denied due to -1.62, Housing Type, Email, -0.82, Car Ownership, -0.15."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, -0.82, Car Ownership, -0.15."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, -0.82, Car Ownership, -0.15, Family Size."
Approved,Approved,"This application was approved due to Email, -0.77, Marital Status, -0.15, Family Size."
Approved,Approved,"This application was approved due to Email, -0.77, Marital Status, -0.15, Family Size."
Approved,Approved,"This application was approved due to Email, -0.77, Marital Status, -0.15, Family Size."
Approved,Approved,"This application was approved due to Email, -0.77, Marital Status, -0.15, Family Size."
Approved,Approved,"This application was approved due to -0.77, Email, Marital Status, -0.15, Family Size."
Approved,Approved,"This application was approved due to -0.77, Email, Marital Status, -0.15, Family Size."
Approved,Approved,"This application was approved due to -0.77, Email, Marital Status, -0.15, Family Size."
Approved,Approved,"This application was approved due to Email, -0.77, Marital Status, -0.15, Family Size, -0.85."
Approved,Denied,"This application was approved due to -0.77, Email, Marital Status, -0.15, Family Size."
Approved,Denied,"This application was approved due to Email, -0.77, Marital Status, -0.15, Family Size."
Denied,Approved,"This application was denied due to -1.62, Income Category, Housing Type, Work Phone, -0.82, Phone, -0.15."
Denied,Approved,"This application was denied due to -1.62, Email, Income Category, Housing Type, -0.13, Work Phone, -0.82, -0.27, -0.85, Phone."
Denied,Denied,"This application was denied due to -1.62, Income Category, Housing Type, -0.82, Work Phone, Phone, -0.15, Annual Income."
Denied,Approved,"This application was denied due to Email, -1.62, Income Category, Housing Type, -0.13, -0.82, Work Phone, -0.27, Phone, Family Size, -0.85."
Approved,Approved,"This application was approved due to -0.77, Number of Children, -1.05, Annual Income."
Approved,Approved,"This application was approved due to -0.77, Number of Children, -1.05, Annual Income."
Approved,Denied,"This application was approved due to -0.77, Number of Children, Annual Income, -1.05."
Approved,Approved,"This application was approved due to Property Ownership, Housing Type, Marital Status, -0.15, Number of Children, Family Size."
Approved,Approved,"This application was approved due to Housing Type, Property Ownership, Marital Status, -0.15, Number of Children, Annual Income, Family Size."
Approved,Approved,"This application was approved due to Property Ownership, Housing Type, Marital Status, Number of Children, -0.15, Annual Income."
Approved,Approved,"This application was approved due to Property Ownership, Housing Type, Marital Status, -0.15, Number of Children, Family Size."
Approved,Approved,"This application was approved due to Property Ownership, Housing Type, Marital Status, Number of Children, -0.15."
Approved,Approved,"This application was approved due to Property Ownership, Housing Type, Number of Children, Marital Status, -0.15, Annual Income."
Denied,Approved,"This application was denied due to -1.62, Housing Type, Email, Marital Status, Work Phone, Car Ownership, Number of Children, Phone, -0.85, -0.20, Occupation."
Approved,Approved,"This application was approved due to -0.77, Marital Status, Number of Children, -0.61."
Denied,Approved,"This application was denied due to -1.62, Email, Marital Status, Housing Type, Work Phone, Number of Children, Phone, Car Ownership, -0.20, -0.85, Occupation."
Approved,Approved,"This application was approved due to -0.77, Marital Status, Number of Children, -0.61, Family Size."
Approved,Approved,"This application was approved due to -0.77, Marital Status, Number of Children, -0.61."
Approved,Approved,"This application was approved due to -0.77, Marital Status, Number of Children, -0.61, -0.15."
Approved,Approved,"This application was approved due to -0.77, Number of Children, Marital Status, -0.61."
Approved,Approved,"This application was approved due to -0.77, Marital Status, Number of Children, -0.61."
Approved,Denied,"This application was approved due to -0.77, Marital Status, Number of Children, -0.61."
Approved,Approved,"This application was approved due to Email, -0.77, Marital Status, Family Size."
Approved,Approved,"This application was approved due to Email, -0.77, Marital Status, Family Size."
Approved,Approved,"This application was approved due to -0.77, Email, Marital Status, Family Size."
Approved,Approved,"This application was approved due to -0.77, Email, Marital Status, Family Size."
Approved,Approved,"This application was approved due to Email, -0.77, Marital Status, Family Size."
Approved,Approved,"This application was approved due to -0.77, Number of Children, Work Phone, -1.05."
Approved,Approved,"This application was approved due to -0.77, Number of Children, Work Phone, -1.05."
Approved,Approved,"This application was approved due to Email, Number of Children, -0.15, Annual Income, -0.81, -0.64, -1.05, -0.77, Family Size."
Denied,Approved,"This application was denied due to -1.62, Income Category, Email, Employment Duration (Days), Housing Type, Work Phone, Car Ownership, Education Level, Family Size."
Approved,Approved,"This application was approved due to -0.77, Marital Status, Number of Children, -0.15, -0.81, -1.05."
Approved,Approved,"This application was approved due to -0.77, Marital Status, Number of Children, -0.15, -0.81, -1.05, Annual Income."
Approved,Approved,"This application was approved due to -0.77, Marital Status, Number of Children, -0.15, -0.81, -1.05, Family Size, Annual Income."
Approved,Approved,"This application was approved due to -0.77, Marital Status, Number of Children, -0.15, -0.81, -1.05, Annual Income, Family Size."
Approved,Approved,"This application was approved due to -0.77, Marital Status, -0.15, Number of Children, -0.81, -1.05, Family Size."
Approved,Approved,"This application was approved due to -0.77, Marital Status, Number of Children, -0.15, -0.81, -1.05, Annual Income."
Approved,Approved,"This application was approved due to -0.77, Marital Status, -0.15, Number of Children, -0.81, -1.05, Annual Income."
Approved,Approved,"This application was approved due to -0.77, Marital Status, -0.15, Number of Children, -0.81, -1.05, Annual Income."
Approved,Approved,"This application was approved due to -0.77, Marital Status, Number of Children, -0.15, -0.81, -1.05, Annual Income."
Approved,Approved,"This application was approved due to Email, Housing Type, Marital Status, Number of Children, -0.81, -0.64, Annual Income, Family Size."
Approved,Approved,"This application was approved due to Email, Housing Type, Marital Status, Number of Children, -0.81, -0.64, Annual Income."
Approved,Denied,"This application was approved due to Housing Type, Email, Number of Children, Marital Status, -0.81, -0.64, Family Size."
Approved,Approved,"This application was approved due to Email, -0.77, Marital Status, -0.81, -0.64, Annual Income."
Denied,Approved,"This application was denied due to -1.62, Email, -0.57, Work Phone, Car Ownership, Phone, Occupation, -0.85, -0.20."
Approved,Approved,"This application was approved due to -0.77, Email, Marital Status, -0.81, -0.64, Annual Income, -0.20."
Denied,Approved,"This application was denied due to -1.62, Housing Type, -0.82, Work Phone, Car Ownership, Phone, Age (Days), -0.27, Education Level, Family Size."
Denied,Approved,"This application was denied due to -1.62, Housing Type, Work Phone, Car Ownership, -0.82, -0.27, Education Level, Phone, Age (Days)."
Denied,Approved,"This application was denied due to -1.62, Housing Type, Work Phone, -0.82, Car Ownership, -0.27, Phone, Education Level, Age (Days)."
Denied,Approved,"This application was denied due to -1.62, Email, Housing Type, Work Phone, Car Ownership, Phone, Occupation, Family Size."
Denied,Approved,"This application was denied due to -1.62, Email, Housing Type, Work Phone, Car Ownership, Phone, Occupation, Family Size."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, Work Phone, Car Ownership, Phone, Occupation, Family Size."
Denied,Denied,"This application was denied due to -1.62, Housing Type, Email, Car Ownership, Work Phone, Occupation, Phone, Family Size."
Denied,Approved,"This application was denied due to Email, Income Category, Housing Type, -0.13, Work Phone, -0.82, Number of Children, -0.27, Phone, Education Level."
Denied,Approved,"This application was denied due to Income Category, Email, Housing Type, -0.13, Work Phone, Number of Children, -0.82, -0.27, Phone, Education Level, -0.85."
Denied,Denied,"This application was denied due to Income Category, Housing Type, Email, -0.13, Work Phone, -0.82, Number of Children, -0.27, Phone, Education Level."
Denied,Denied,"This application was denied due to Email, Income Category, -0.13, Housing Type, Work Phone, Number of Children, -0.82, -0.27, Phone, Education Level, -0.85."
Denied,Approved,"This application was denied due to -1.62, Email, Housing Type, Work Phone, Occupation, Phone, Age (Days), Annual Income."
Denied,Approved,"This application was denied due to -1.62, Email, Housing Type, -0.57, -0.82, Phone, Education Level, Age (Days), -0.20."
Denied,Approved,"This application was denied due to -1.62, Email, Housing Type, -0.57, -0.82, Education Level, -0.20, Phone, Age (Days)."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, -0.57, -0.82, Phone, Age (Days), -0.20, Education Level."
Denied,Approved,"This application was denied due to -1.62, Housing Type, Email, -0.57, -0.82, Phone, Age (Days), Education Level."
