Car Ownership,Property Ownership,Number of Children,Annual Income,Income Category,Education Level,Marital Status,Housing Type,Age (Days),Employment Duration (Days),Work Phone,Phone,Email,Occupation,Family Size,Approved,Prediction,Actual,Explanation,Reason
1,1,0,270000.0,4,1,1,1,46,769.0,1.0,1.0,1.0,0,2.0,1,Denied,Approved,"This application was denied due to -1.62, Housing Type, Occupation, Education Level, -0.15, Family Size.","This application was denied due to -1.62, Housing Type, Occupation, Education Level, -0.15, Family Size."
1,1,0,270000.0,4,1,1,1,46,769.0,1.0,1.0,1.0,0,2.0,0,Denied,Denied,"This application was denied due to -1.62, Housing Type, Occupation, Education Level, -0.15, Family Size.","This application was denied due to -1.62, Housing Type, Occupation, Education Level, -0.15, Family Size."
1,1,0,270000.0,4,1,1,1,46,769.0,1.0,1.0,1.0,0,2.0,0,Denied,Denied,"This application was denied due to -1.62, Housing Type, Occupation, -0.15, Education Level, Family Size.","This application was denied due to -1.62, Housing Type, Occupation, -0.15, Education Level, Family Size."
1,1,0,135000.0,0,5,1,1,48,1194.0,0.0,0.0,0.0,8,2.0,1,Approved,Approved,"This application was approved due to Number of Children, Marital Status, -0.81, -1.05, -0.61, -0.77.","This application was approved due to Number of Children, Marital Status, -0.81, -1.05, -0.61, -0.77."
1,1,0,135000.0,0,5,1,1,48,1194.0,0.0,0.0,0.0,8,2.0,1,Approved,Approved,"This application was approved due to Marital Status, Number of Children, -0.81, -0.77, -1.05, -0.61.","This application was approved due to Marital Status, Number of Children, -0.81, -0.77, -1.05, -0.61."
1,1,0,135000.0,0,5,1,1,48,1194.0,0.0,0.0,0.0,8,2.0,1,Approved,Approved,"This application was approved due to Marital Status, Number of Children, -0.81, -0.61, -1.05, -0.77.","This application was approved due to Marital Status, Number of Children, -0.81, -0.61, -1.05, -0.77."
1,1,0,135000.0,0,5,1,1,48,1194.0,0.0,0.0,0.0,8,2.0,1,Approved,Approved,"This application was approved due to Marital Status, Number of Children, -0.81, -0.77, -1.05, -0.61, Family Size.","This application was approved due to Marital Status, Number of Children, -0.81, -0.77, -1.05, -0.61, Family Size."
1,1,0,135000.0,0,5,1,1,48,1194.0,0.0,0.0,0.0,8,2.0,1,Approved,Approved,"This application was approved due to Marital Status, Number of Children, -0.81, -1.05, -0.61, -0.77.","This application was approved due to Marital Status, Number of Children, -0.81, -1.05, -0.61, -0.77."
1,1,0,135000.0,0,5,1,1,48,1194.0,0.0,0.0,0.0,8,2.0,1,Approved,Approved,"This application was approved due to Marital Status, Number of Children, -0.81, -1.05, -0.61, -0.77.","This application was approved due to Marital Status, Number of Children, -0.81, -1.05, -0.61, -0.77."
1,0,0,130500.0,4,2,1,1,29,1103.0,0.0,0.0,0.0,0,2.0,1,Approved,Approved,"This application was approved due to Property Ownership, -0.77, Marital Status, Number of Children, -0.81, -0.61, Family Size.","This application was approved due to Property Ownership, -0.77, Marital Status, Number of Children, -0.81, -0.61, Family Size."
1,0,0,130500.0,4,2,1,1,29,1103.0,0.0,0.0,0.0,0,2.0,1,Approved,Approved,"This application was approved due to Property Ownership, -0.77, Number of Children, Marital Status, -0.81, -0.61, Family Size.","This application was approved due to Property Ownership, -0.77, Number of Children, Marital Status, -0.81, -0.61, Family Size."
0,1,0,157500.0,4,5,1,1,27,1469.0,0.0,1.0,0.0,8,2.0,1,Denied,Approved,"This application was denied due to -1.62, Email, Housing Type, Work Phone, -0.82, Car Ownership, Age (Days), -0.77, Family Size.","This application was denied due to -1.62, Email, Housing Type, Work Phone, -0.82, Car Ownership, Age (Days), -0.77, Family Size."
0,1,0,157500.0,4,5,1,1,27,1469.0,0.0,1.0,0.0,8,2.0,1,Denied,Approved,"This application was denied due to -1.62, Email, Housing Type, -0.82, Work Phone, Car Ownership, Age (Days).","This application was denied due to -1.62, Email, Housing Type, -0.82, Work Phone, Car Ownership, Age (Days)."
0,1,0,157500.0,4,5,1,1,27,1469.0,0.0,1.0,0.0,8,2.0,1,Denied,Approved,"This application was denied due to -1.62, Email, Housing Type, -0.82, Work Phone, Car Ownership, Age (Days), Family Size.","This application was denied due to -1.62, Email, Housing Type, -0.82, Work Phone, Car Ownership, Age (Days), Family Size."
0,1,1,112500.0,4,5,3,1,30,1620.0,0.0,0.0,0.0,18,2.0,1,Denied,Approved,"This application was denied due to -1.62, Email, Housing Type, Marital Status, Work Phone, Car Ownership, -0.57, Phone, -0.27, Age (Days), Family Size.","This application was denied due to -1.62, Email, Housing Type, Marital Status, Work Phone, Car Ownership, -0.57, Phone, -0.27, Age (Days), Family Size."
0,1,1,112500.0,4,5,3,1,30,1620.0,0.0,0.0,0.0,18,2.0,1,Denied,Approved,"This application was denied due to Email, -1.62, Housing Type, Marital Status, Work Phone, -0.57, Car Ownership, -0.27, Phone, Age (Days).","This application was denied due to Email, -1.62, Housing Type, Marital Status, Work Phone, -0.57, Car Ownership, -0.27, Phone, Age (Days)."
0,1,1,112500.0,4,5,3,1,30,1620.0,0.0,0.0,0.0,18,2.0,0,Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, Marital Status, -0.57, Work Phone, Car Ownership, Phone, -0.27, Family Size, Age (Days).","This application was denied due to -1.62, Email, Housing Type, Marital Status, -0.57, Work Phone, Car Ownership, Phone, -0.27, Family Size, Age (Days)."
1,1,3,270000.0,4,5,1,1,34,1163.0,0.0,0.0,0.0,8,5.0,1,Denied,Approved,"This application was denied due to -1.62, Email, Housing Type, Number of Children, -0.82, Phone, Work Phone, Age (Days).","This application was denied due to -1.62, Email, Housing Type, Number of Children, -0.82, Phone, Work Phone, Age (Days)."
1,1,3,270000.0,4,5,1,1,34,1163.0,0.0,0.0,0.0,8,5.0,1,Denied,Approved,"This application was denied due to -1.62, Housing Type, Email, Work Phone, -0.82, Phone, Number of Children, Annual Income, Age (Days).","This application was denied due to -1.62, Housing Type, Email, Work Phone, -0.82, Phone, Number of Children, Annual Income, Age (Days)."
0,1,1,405000.0,0,1,1,1,32,2016.0,0.0,0.0,0.0,10,3.0,1,Approved,Approved,"This application was approved due to Marital Status, Annual Income.","This application was approved due to Marital Status, Annual Income."
0,1,1,405000.0,0,1,1,1,32,2016.0,0.0,0.0,0.0,10,3.0,1,Approved,Approved,"This application was approved due to Marital Status, Annual Income.","This application was approved due to Marital Status, Annual Income."
0,1,1,405000.0,0,1,1,1,32,2016.0,0.0,0.0,0.0,10,3.0,1,Approved,Approved,"This application was approved due to Marital Status, Annual Income.","This application was approved due to Marital Status, Annual Income."
0,1,1,405000.0,0,1,1,1,32,2016.0,0.0,0.0,0.0,10,3.0,1,Approved,Approved,"This application was approved due to Marital Status, Annual Income.","This application was approved due to Marital Status, Annual Income."
0,1,1,405000.0,0,1,1,1,32,2016.0,0.0,0.0,0.0,10,3.0,1,Approved,Approved,"This application was approved due to Marital Status, Annual Income.","This application was approved due to Marital Status, Annual Income."
0,1,1,405000.0,0,1,1,1,32,2016.0,0.0,0.0,0.0,10,3.0,1,Approved,Approved,"This application was approved due to Marital Status, Annual Income.","This application was approved due to Marital Status, Annual Income."
1,1,0,112500.0,0,5,1,1,56,4450.0,0.0,1.0,0.0,4,2.0,1,Approved,Approved,"This application was approved due to Employment Duration (Days), Marital Status, Number of Children, Annual Income, Age (Days), -0.81, -0.64, -1.05.","This application was approved due to Employment Duration (Days), Marital Status, Number of Children, Annual Income, Age (Days), -0.81, -0.64, -1.05."
1,1,0,112500.0,0,5,1,1,56,4450.0,0.0,1.0,0.0,4,2.0,1,Approved,Approved,"This application was approved due to Employment Duration (Days), Marital Status, Annual Income, Number of Children, -0.81, Age (Days), -0.64, -1.05.","This application was approved due to Employment Duration (Days), Marital Status, Annual Income, Number of Children, -0.81, Age (Days), -0.64, -1.05."
1,1,0,112500.0,0,5,1,1,56,4450.0,0.0,1.0,0.0,4,2.0,1,Approved,Approved,"This application was approved due to Employment Duration (Days), Marital Status, Number of Children, Annual Income, Age (Days), -0.64, -0.81, -1.05, Family Size.","This application was approved due to Employment Duration (Days), Marital Status, Number of Children, Annual Income, Age (Days), -0.64, -0.81, -1.05, Family Size."
1,1,0,112500.0,0,5,1,1,56,4450.0,0.0,1.0,0.0,4,2.0,1,Approved,Approved,"This application was approved due to Employment Duration (Days), Marital Status, Number of Children, -0.81, Annual Income, Age (Days), -0.64, -1.05.","This application was approved due to Employment Duration (Days), Marital Status, Number of Children, -0.81, Annual Income, Age (Days), -0.64, -1.05."
1,1,0,112500.0,0,5,1,1,56,4450.0,0.0,1.0,0.0,4,2.0,1,Approved,Approved,"This application was approved due to Employment Duration (Days), Marital Status, Number of Children, Annual Income, -0.81, Age (Days), -0.64, -1.05.","This application was approved due to Employment Duration (Days), Marital Status, Number of Children, Annual Income, -0.81, Age (Days), -0.64, -1.05."
1,1,0,112500.0,0,5,1,1,56,4450.0,0.0,1.0,0.0,4,2.0,1,Approved,Approved,"This application was approved due to Employment Duration (Days), Marital Status, Number of Children, -0.81, Age (Days), -0.64, Annual Income, -1.05.","This application was approved due to Employment Duration (Days), Marital Status, Number of Children, -0.81, Age (Days), -0.64, Annual Income, -1.05."
1,1,0,112500.0,0,5,1,1,56,4450.0,0.0,1.0,0.0,4,2.0,1,Approved,Approved,"This application was approved due to Employment Duration (Days), Marital Status, Number of Children, Age (Days), Annual Income, -0.81, -0.64, -1.05.","This application was approved due to Employment Duration (Days), Marital Status, Number of Children, Age (Days), Annual Income, -0.81, -0.64, -1.05."
1,1,0,112500.0,0,5,1,1,56,4450.0,0.0,1.0,0.0,4,2.0,1,Approved,Approved,"This application was approved due to Employment Duration (Days), Marital Status, Number of Children, -0.81, Annual Income, Age (Days), -0.64, -1.05.","This application was approved due to Employment Duration (Days), Marital Status, Number of Children, -0.81, Annual Income, Age (Days), -0.64, -1.05."
1,1,0,112500.0,0,5,1,1,56,4450.0,0.0,1.0,0.0,4,2.0,0,Approved,Denied,"This application was approved due to Employment Duration (Days), Marital Status, Number of Children, -0.81, Age (Days), Annual Income, -0.64, -1.05, Family Size.","This application was approved due to Employment Duration (Days), Marital Status, Number of Children, -0.81, Age (Days), Annual Income, -0.64, -1.05, Family Size."
1,1,0,112500.0,0,5,1,1,56,4450.0,0.0,1.0,0.0,4,2.0,0,Approved,Denied,"This application was approved due to Employment Duration (Days), Marital Status, Number of Children, Age (Days), -0.81, -0.64, Annual Income, -1.05.","This application was approved due to Employment Duration (Days), Marital Status, Number of Children, Age (Days), -0.81, -0.64, Annual Income, -1.05."
1,1,0,112500.0,0,5,1,1,56,4450.0,0.0,1.0,0.0,4,2.0,0,Approved,Denied,"This application was approved due to Employment Duration (Days), Marital Status, Number of Children, Age (Days), -0.81, Annual Income, -0.64, -1.05.","This application was approved due to Employment Duration (Days), Marital Status, Number of Children, Age (Days), -0.81, Annual Income, -0.64, -1.05."
1,1,2,135000.0,4,5,1,1,43,3173.0,0.0,0.0,0.0,8,4.0,1,Approved,Approved,"This application was approved due to -0.77, Marital Status, -0.81, -0.61, Family Size, -1.05.","This application was approved due to -0.77, Marital Status, -0.81, -0.61, Family Size, -1.05."
1,1,2,135000.0,4,5,1,1,43,3173.0,0.0,0.0,0.0,8,4.0,1,Approved,Approved,"This application was approved due to -0.77, Marital Status, -0.81, Family Size, -0.61, -1.05.","This application was approved due to -0.77, Marital Status, -0.81, Family Size, -0.61, -1.05."
1,1,2,135000.0,4,5,1,1,43,3173.0,0.0,0.0,0.0,8,4.0,1,Approved,Approved,"This application was approved due to -0.77, Marital Status, -0.81, Family Size, -1.05, -0.61, -0.15.","This application was approved due to -0.77, Marital Status, -0.81, Family Size, -1.05, -0.61, -0.15."
1,1,2,135000.0,4,5,1,1,43,3173.0,0.0,0.0,0.0,8,4.0,1,Approved,Approved,"This application was approved due to -0.77, Marital Status, -0.81, Family Size, -0.61, -1.05.","This application was approved due to -0.77, Marital Status, -0.81, Family Size, -0.61, -1.05."
1,1,2,135000.0,4,5,1,1,43,3173.0,0.0,0.0,0.0,8,4.0,1,Approved,Approved,"This application was approved due to -0.77, Marital Status, -0.81, Family Size, -0.61, -1.05, -0.15.","This application was approved due to -0.77, Marital Status, -0.81, Family Size, -0.61, -1.05, -0.15."
1,1,2,135000.0,4,5,1,1,43,3173.0,0.0,0.0,0.0,8,4.0,1,Approved,Approved,"This application was approved due to -0.77, Marital Status, Family Size, -0.81, -0.61, -1.05.","This application was approved due to -0.77, Marital Status, Family Size, -0.81, -0.61, -1.05."
1,1,2,135000.0,4,5,1,1,43,3173.0,0.0,0.0,0.0,8,4.0,1,Approved,Approved,"This application was approved due to -0.77, Marital Status, -0.81, Family Size, -1.05, -0.61.","This application was approved due to -0.77, Marital Status, -0.81, Family Size, -1.05, -0.61."
1,1,2,135000.0,4,5,1,1,43,3173.0,0.0,0.0,0.0,8,4.0,1,Approved,Approved,"This application was approved due to -0.77, Marital Status, -0.81, -0.61, Family Size, -1.05.","This application was approved due to -0.77, Marital Status, -0.81, -0.61, Family Size, -1.05."
1,1,2,135000.0,4,5,1,1,43,3173.0,0.0,0.0,0.0,8,4.0,1,Approved,Approved,"This application was approved due to -0.77, Marital Status, -0.81, Family Size, -0.61, -1.05, -0.15.","This application was approved due to -0.77, Marital Status, -0.81, Family Size, -0.61, -1.05, -0.15."
1,1,2,135000.0,4,5,1,1,43,3173.0,0.0,0.0,0.0,8,4.0,1,Approved,Approved,"This application was approved due to -0.77, Marital Status, -0.81, -0.61, Family Size, -1.05.","This application was approved due to -0.77, Marital Status, -0.81, -0.61, Family Size, -1.05."
1,1,2,135000.0,4,5,1,1,43,3173.0,0.0,0.0,0.0,8,4.0,1,Approved,Approved,"This application was approved due to -0.77, Marital Status, -0.81, Family Size, -1.05, -0.61.","This application was approved due to -0.77, Marital Status, -0.81, Family Size, -1.05, -0.61."
1,1,2,135000.0,4,5,1,1,43,3173.0,0.0,0.0,0.0,8,4.0,1,Approved,Approved,"This application was approved due to -0.77, Marital Status, -0.81, Family Size, -1.05, -0.61.","This application was approved due to -0.77, Marital Status, -0.81, Family Size, -1.05, -0.61."
1,1,2,135000.0,4,5,1,1,43,3173.0,0.0,0.0,0.0,8,4.0,1,Approved,Approved,"This application was approved due to -0.77, Marital Status, -0.81, Family Size, -1.05, -0.61.","This application was approved due to -0.77, Marital Status, -0.81, Family Size, -1.05, -0.61."
1,1,2,135000.0,4,5,1,1,43,3173.0,0.0,0.0,0.0,8,4.0,1,Approved,Approved,"This application was approved due to -0.77, Marital Status, -0.81, Family Size, -0.61, -1.05, -0.15.","This application was approved due to -0.77, Marital Status, -0.81, Family Size, -0.61, -1.05, -0.15."
1,1,2,135000.0,4,5,1,1,43,3173.0,0.0,0.0,0.0,8,4.0,0,Approved,Denied,"This application was approved due to -0.77, Marital Status, -0.81, -1.05, Family Size, -0.61.","This application was approved due to -0.77, Marital Status, -0.81, -1.05, Family Size, -0.61."
1,1,2,135000.0,4,5,1,1,43,3173.0,0.0,0.0,0.0,8,4.0,0,Approved,Denied,"This application was approved due to -0.77, Marital Status, -0.81, Family Size, -0.61, -1.05.","This application was approved due to -0.77, Marital Status, -0.81, Family Size, -0.61, -1.05."
0,1,1,211500.0,2,5,0,1,44,7099.0,0.0,0.0,0.0,3,3.0,1,Denied,Approved,"This application was denied due to -1.62, Email, -0.13, Housing Type, -0.57, Work Phone, Car Ownership, Phone, Occupation, -0.20, -0.15.","This application was denied due to -1.62, Email, -0.13, Housing Type, -0.57, Work Phone, Car Ownership, Phone, Occupation, -0.20, -0.15."
0,1,1,211500.0,2,5,0,1,44,7099.0,0.0,0.0,0.0,3,3.0,1,Denied,Approved,"This application was denied due to -1.62, Email, Housing Type, -0.13, Work Phone, Car Ownership, -0.57, Occupation, Phone, -0.15, -0.20.","This application was denied due to -1.62, Email, Housing Type, -0.13, Work Phone, Car Ownership, -0.57, Occupation, Phone, -0.15, -0.20."
1,1,0,360000.0,0,5,1,1,45,5364.0,0.0,1.0,0.0,16,2.0,1,Denied,Approved,"This application was denied due to -1.62, Email, Income Category, Housing Type, Work Phone, -0.15.","This application was denied due to -1.62, Email, Income Category, Housing Type, Work Phone, -0.15."
1,1,0,360000.0,0,5,1,1,45,5364.0,0.0,1.0,0.0,16,2.0,0,Denied,Denied,"This application was denied due to -1.62, Email, Income Category, Housing Type, Work Phone, -0.15, Family Size.","This application was denied due to -1.62, Email, Income Category, Housing Type, Work Phone, -0.15, Family Size."
0,1,2,126000.0,0,1,1,1,34,1773.0,0.0,0.0,1.0,10,4.0,1,Approved,Approved,"This application was approved due to Email, Marital Status, Family Size, Annual Income.","This application was approved due to Email, Marital Status, Family Size, Annual Income."
0,1,2,126000.0,0,1,1,1,34,1773.0,0.0,0.0,1.0,10,4.0,1,Approved,Approved,"This application was approved due to Email, Marital Status, Annual Income, Family Size.","This application was approved due to Email, Marital Status, Annual Income, Family Size."
0,1,2,126000.0,0,1,1,1,34,1773.0,0.0,0.0,1.0,10,4.0,1,Approved,Approved,"This application was approved due to Email, Marital Status, Annual Income, Family Size.","This application was approved due to Email, Marital Status, Annual Income, Family Size."
0,1,2,126000.0,0,1,1,1,34,1773.0,0.0,0.0,1.0,10,4.0,1,Approved,Approved,"This application was approved due to Email, Marital Status, Annual Income, Family Size.","This application was approved due to Email, Marital Status, Annual Income, Family Size."
0,1,2,126000.0,0,1,1,1,34,1773.0,0.0,0.0,1.0,10,4.0,1,Approved,Approved,"This application was approved due to Email, Marital Status, Annual Income, Family Size.","This application was approved due to Email, Marital Status, Annual Income, Family Size."
0,1,2,126000.0,0,1,1,1,34,1773.0,0.0,0.0,1.0,10,4.0,1,Approved,Approved,"This application was approved due to Email, Marital Status, Family Size, Annual Income.","This application was approved due to Email, Marital Status, Family Size, Annual Income."
0,1,2,126000.0,0,1,1,1,34,1773.0,0.0,0.0,1.0,10,4.0,1,Approved,Approved,"This application was approved due to Email, Marital Status, Annual Income, Family Size.","This application was approved due to Email, Marital Status, Annual Income, Family Size."
0,1,2,126000.0,0,1,1,1,34,1773.0,0.0,0.0,1.0,10,4.0,1,Approved,Approved,"This application was approved due to Email, Marital Status, Annual Income, Family Size.","This application was approved due to Email, Marital Status, Annual Income, Family Size."
0,1,2,126000.0,0,1,1,1,34,1773.0,0.0,0.0,1.0,10,4.0,1,Approved,Approved,"This application was approved due to Email, Marital Status, Annual Income, Family Size.","This application was approved due to Email, Marital Status, Annual Income, Family Size."
0,1,2,126000.0,0,1,1,1,34,1773.0,0.0,0.0,1.0,10,4.0,1,Approved,Approved,"This application was approved due to Email, Marital Status, Annual Income, Family Size.","This application was approved due to Email, Marital Status, Annual Income, Family Size."
0,1,0,315000.0,1,5,4,1,55,0.0,0.0,0.0,0.0,18,1.0,1,Denied,Approved,"This application was denied due to -1.62, Email, Income Category, Employment Duration (Days), Housing Type, Marital Status, Work Phone, Car Ownership, Phone.","This application was denied due to -1.62, Email, Income Category, Employment Duration (Days), Housing Type, Marital Status, Work Phone, Car Ownership, Phone."
0,1,0,247500.0,0,1,2,4,46,1347.0,0.0,0.0,0.0,3,1.0,1,Denied,Approved,"This application was denied due to -1.62, Email, Income Category, Marital Status, Work Phone, Car Ownership, Phone, Occupation, Education Level, Family Size.","This application was denied due to -1.62, Email, Income Category, Marital Status, Work Phone, Car Ownership, Phone, Occupation, Education Level, Family Size."
0,1,0,247500.0,0,1,2,4,46,1347.0,0.0,0.0,0.0,3,1.0,1,Denied,Approved,"This application was denied due to -1.62, Email, Income Category, Marital Status, Work Phone, Car Ownership, Phone, Education Level, Occupation, -0.15.","This application was denied due to -1.62, Email, Income Category, Marital Status, Work Phone, Car Ownership, Phone, Education Level, Occupation, -0.15."
0,1,0,247500.0,0,1,2,4,46,1347.0,0.0,0.0,0.0,3,1.0,1,Denied,Approved,"This application was denied due to -1.62, Income Category, Email, Marital Status, Work Phone, Car Ownership, Occupation, Phone, Education Level, -0.15, Annual Income.","This application was denied due to -1.62, Income Category, Email, Marital Status, Work Phone, Car Ownership, Occupation, Phone, Education Level, -0.15, Annual Income."
0,1,0,247500.0,0,1,2,4,46,1347.0,0.0,0.0,0.0,3,1.0,0,Denied,Denied,"This application was denied due to -1.62, Email, Income Category, Marital Status, Work Phone, Car Ownership, Phone, Occupation, Education Level, -0.15.","This application was denied due to -1.62, Email, Income Category, Marital Status, Work Phone, Car Ownership, Phone, Occupation, Education Level, -0.15."
0,1,0,297000.0,0,5,3,4,42,3234.0,0.0,0.0,0.0,8,1.0,1,Approved,Approved,"This application was approved due to Housing Type, Number of Children, Annual Income, -1.05, -0.85.","This application was approved due to Housing Type, Number of Children, Annual Income, -1.05, -0.85."
0,1,0,297000.0,0,5,3,4,42,3234.0,0.0,0.0,0.0,8,1.0,1,Approved,Approved,"This application was approved due to Housing Type, Number of Children, Annual Income, -1.05.","This application was approved due to Housing Type, Number of Children, Annual Income, -1.05."
0,1,0,297000.0,0,5,3,4,42,3234.0,0.0,0.0,0.0,8,1.0,1,Approved,Approved,"This application was approved due to Housing Type, Number of Children, -1.05, Annual Income, Family Size.","This application was approved due to Housing Type, Number of Children, -1.05, Annual Income, Family Size."
0,1,0,297000.0,0,5,3,4,42,3234.0,0.0,0.0,0.0,8,1.0,1,Approved,Approved,"This application was approved due to Housing Type, Number of Children, -1.05, Annual Income, -0.85.","This application was approved due to Housing Type, Number of Children, -1.05, Annual Income, -0.85."
0,1,0,297000.0,0,5,3,4,42,3234.0,0.0,0.0,0.0,8,1.0,1,Approved,Approved,"This application was approved due to Housing Type, Number of Children, Annual Income, -1.05.","This application was approved due to Housing Type, Number of Children, Annual Income, -1.05."
0,1,0,297000.0,0,5,3,4,42,3234.0,0.0,0.0,0.0,8,1.0,1,Approved,Approved,"This application was approved due to Housing Type, Number of Children, -1.05.","This application was approved due to Housing Type, Number of Children, -1.05."
0,1,0,297000.0,0,5,3,4,42,3234.0,0.0,0.0,0.0,8,1.0,1,Approved,Approved,"This application was approved due to Housing Type, Number of Children, -1.05, Annual Income.","This application was approved due to Housing Type, Number of Children, -1.05, Annual Income."
0,1,0,297000.0,0,5,3,4,42,3234.0,0.0,0.0,0.0,8,1.0,1,Approved,Approved,"This application was approved due to Housing Type, Number of Children, -1.05, Annual Income.","This application was approved due to Housing Type, Number of Children, -1.05, Annual Income."
0,1,0,297000.0,0,5,3,4,42,3234.0,0.0,0.0,0.0,8,1.0,1,Approved,Approved,"This application was approved due to Housing Type, Number of Children, -1.05, Annual Income.","This application was approved due to Housing Type, Number of Children, -1.05, Annual Income."
0,1,0,297000.0,0,5,3,4,42,3234.0,0.0,0.0,0.0,8,1.0,1,Approved,Approved,"This application was approved due to Housing Type, Number of Children, -1.05, Annual Income, Family Size.","This application was approved due to Housing Type, Number of Children, -1.05, Annual Income, Family Size."
0,1,0,297000.0,0,5,3,4,42,3234.0,0.0,0.0,0.0,8,1.0,1,Approved,Approved,"This application was approved due to Housing Type, Number of Children, Annual Income, -1.05, -0.85.","This application was approved due to Housing Type, Number of Children, Annual Income, -1.05, -0.85."
0,1,0,297000.0,0,5,3,4,42,3234.0,0.0,0.0,0.0,8,1.0,1,Approved,Approved,"This application was approved due to Housing Type, Number of Children, -1.05, Annual Income, Family Size.","This application was approved due to Housing Type, Number of Children, -1.05, Annual Income, Family Size."
0,1,0,297000.0,0,5,3,4,42,3234.0,0.0,0.0,0.0,8,1.0,1,Approved,Approved,"This application was approved due to Housing Type, Number of Children, Annual Income, -1.05.","This application was approved due to Housing Type, Number of Children, Annual Income, -1.05."
0,1,0,297000.0,0,5,3,4,42,3234.0,0.0,0.0,0.0,8,1.0,1,Approved,Approved,"This application was approved due to Housing Type, Number of Children, -1.05, Annual Income, -0.85.","This application was approved due to Housing Type, Number of Children, -1.05, Annual Income, -0.85."
0,1,0,297000.0,0,5,3,4,42,3234.0,0.0,0.0,0.0,8,1.0,1,Approved,Approved,"This application was approved due to Housing Type, Number of Children, Annual Income, -1.05.","This application was approved due to Housing Type, Number of Children, Annual Income, -1.05."
0,1,0,297000.0,0,5,3,4,42,3234.0,0.0,0.0,0.0,8,1.0,1,Approved,Approved,"This application was approved due to Housing Type, Number of Children, -1.05, Annual Income.","This application was approved due to Housing Type, Number of Children, -1.05, Annual Income."
0,1,0,297000.0,0,5,3,4,42,3234.0,0.0,0.0,0.0,8,1.0,1,Approved,Approved,"This application was approved due to Housing Type, Number of Children, -1.05, Annual Income, -0.85.","This application was approved due to Housing Type, Number of Children, -1.05, Annual Income, -0.85."
